H1,H1,H1,H1
SC,SC,SC,SC
L3,L3,L3,L3
H4,H3,PT,H2
H2,H2,H3,H2
H3,H2,H2,PT
H1,H4,H2,H1
L1,H4,H1,L1
L2,L3,H1,H1
H1,H2,H2,L2
H2,H2,H2,H2
H1,L1,H1,H1
H3,H1,H4,H1
H1,H1,H3,L3
H1,H3,H1,H1
L1,H2,H1,H1
L3,L3,H1,H4
H2,SC,H2,H4
H1,H1,H1,H4
H3,H1,H4,H1
H2,L1,H3,L2
H1,H2,H4,H1
H2,H1,H2,H2
H4,H2,H1,H1
H1,H1,L1,H2
H4,H2,PT,H2
H1,H2,H1,H3
H1,H1,H1,H2
H2,L3,H4,L1
L1,L3,H1,H2
L2,H2,H3,H3
H1,H1,H2,H2
H2,H3,H3,H2
H2,H3,L2,H1
H2,H1,H1,H2
H4,H4,H1,H4
H1,H2,H4,H4
H1,L1,H1,H1
H2,L1,H2,H1
H1,L1,H3,H1
SC,L2,H2,L3
H2,H2,L3,H1
H1,PT,H2,H3
H3,H4,H2,H3
H1,H2,H2,H3
SC,H3,H1,H1
H1,H1,H2,H4
H1,H3,L1,H2
H3,H4,H1,H1
H1,H3,H2,PT
L2,PT,H1,H1
SC,L2,H2,H1
H1,H1,H1,H1
H3,H2,H1,H3
H4,L3,L1,L2
H4,H2,H2,H1
H3,H2,H2,H3
H4,H1,H3,H2
SC,H4,H1,H3
H1,H4,SC,H1
H4,H2,H1,H1
H1,H1,H4,H2
H3,H2,H1,H2
H2,H1,H1,H3
L3,H2,H3,H1
H1,H3,H3,H1
H4,H2,H2,H2
H2,L2,H2,H4
H1,SC,H1,L3
L1,H2,H3,H1
H4,H4,L3,SC
H2,H3,L1,H3
H1,L2,L1,H4
H1,H1,H1,SC
H1,H2,H1,H3
SC,H1,H1,H2
H2,H4,L3,H1
H1,L1,L2,H3
H2,H1,H1,H2
L3,H2,L2,H3
L2,H4,H1,H4
H1,H1,SC,H2
H2,H1,H1,H3
H1,H4,H1,H2
H3,H3,H1,H4
H2,H1,H3,L2
H2,L3,H4,L1
H1,L1,H1,H4
H1,H4,PT,H2
H2,H1,H3,H4
L3,H3,H2,H1
H1,H2,L2,H3
L3,H3,H1,L1
H1,L1,H1,H2
H2,H2,H1,H3
H4,H1,H4,H1
L2,L3,H2,L1
H1,H1,H3,H3
H1,H3,H2,H3
H2,L2,H1,H4
H2,H2,H2,H1
H2,L1,H3,H2
H1,H1,L2,H1
H4,H2,H2,H3
H3,H2,H3,H2
H1,H1,H3,H1
H2,L1,L2,H2
H1,H3,H2,L1
H2,H3,H2,H1
H3,H1,H1,H1
H1,H1,H1,H1
H1,SC,H4,H1
SC,H1,H4,H1
H3,H1,L3,H1
H3,H1,L2,H1
L1,PT,H2,L2
H2,H2,L2,H3
PT,H1,H2,L3
H3,H2,H1,H2
H3,H1,L3,L2
PT,H2,H4,H1
H1,SC,H2,H3
H4,H2,H1,H1
H3,H1,H3,H1
L3,L3,H3,H1
L2,H1,H4,H2
H1,H3,H3,H2
H4,H4,H1,H2
H3,H1,H3,H2
H3,H1,L1,H2
H2,H2,H1,H3
H2,H1,H1,H1
H1,H1,H1,H1
H1,H2,H1,H1
H1,H4,H3,H3
L3,H1,H1,H3
H3,L3,H1,H2
H1,H2,H4,L3
H2,L2,H1,H1
H2,H2,L1,H4
H1,H2,H2,L3
H1,H2,H1,H1
H4,H1,H3,H3
L1,H1,L1,H2
H2,H2,H3,H4
H3,H2,H2,L3
H1,H1,H2,L2
H1,H3,H4,H2
L1,H1,L2,H2
H2,SC,SC,H1
H3,H3,H4,H2
H4,H1,L3,H2
H1,H2,H1,H4
L1,H2,H2,SC
H1,H1,H1,PT
H2,H1,H1,H2
H1,H4,H2,L1
H2,H1,H2,H1
H2,H1,H4,L1
H2,H2,H4,H2
L3,H2,L3,H3
H4,H1,PT,L3
H1,H2,H1,H4
L2,H3,H1,H3
H2,H4,H1,PT
PT,L2,H4,SC
H2,SC,H1,H1
PT,L2,H2,H1
H2,H2,H2,H1
H3,H3,H2,H2
H1,H1,SC,L2
H2,H3,H2,H3
L3,H1,H3,H2
H1,PT,H1,H1
H2,H3,L3,H1
H4,H1,H3,H1
H2,H3,H3,H2
H2,H4,H2,H2
H1,H1,H2,H2
H3,L2,H2,L3
H4,H1,H2,L1
H2,H3,L1,SC
L2,H3,H3,H1
L1,H2,H3,H2
L2,H1,H2,SC
L3,H1,H2,H1
L2,H3,H2,L3
H2,H4,H4,H2
H3,H1,H2,H2
H2,H3,H2,H4
H3,H4,H1,H1
H3,H1,L3,H2
H1,H1,H4,L1
H2,H4,L2,H4
H2,H1,H2,L2
H3,H2,H3,H1
H3,L3,SC,H3
L1,H3,SC,H2
H2,H3,H1,H4
H4,H3,L3,H2
